id,subject,term,reference_gloss,hypothesis_gloss,similarity,glossed,correct
engpidginedu-05221,Business study,decisions,final conclusions / choices,final conclusions / choices,100.0,True,True
engpidginedu-06220,Business study,contractors,builders / work people,people wey join body do business / paddy,25.98,True,False
engpidginedu-06220,Business study,sexual,mata wey concern body-to-body,,0.0,False,False
engpidginedu-10729,English Language,oral,talk-talk / wetin comot from mouth,talk-talk / to yarn,33.57,True,False
engpidginedu-09509,Business study,partnerships,business join-body / two or more people wey dey work,,0.0,False,False
engpidginedu-09509,Business study,sole,only one / him alone,only one / him alone,100.0,True,True
engpidginedu-01658,Government,foster,support / train pikin,,0.0,False,False
engpidginedu-03172,Government,request,to ask for help or info / application,to ask for help or info / application,100.0,True,True
engpidginedu-04616,Business study,secondary,level wey follow / not as important as de main one,level wey follow / not as important as de main one,100.0,True,True
engpidginedu-04616,Business study,adopted,to take pikin as your own / pick new style,,0.0,False,False
engpidginedu-25982,Biology,already,E don happen / since / before-before,,0.0,False,False
engpidginedu-08764,Business study,secrets,under-carpet mata / hidden tins,,0.0,False,False
engpidginedu-08764,Business study,patents,law pawa to own idea,,0.0,False,False
engpidginedu-08764,Business study,processes,procedures / styles to do work,,0.0,False,False
engpidginedu-04014,Government,injured,person wey get wound / damage property,person wey get wound / damage property,100.0,True,True
engpidginedu-07921,Business study,emancipation,di parent's relinquishing authority and control over a minor child,,0.0,False,False
engpidginedu-07921,Business study,proclamation,public talk / announcement,,0.0,False,False
engpidginedu-07921,Business study,truck,trailer / lorry / big motor for load,,0.0,False,False
engpidginedu-03479,Government,receipt,"na written proof say money, goods, or property done receive",,0.0,False,False
engpidginedu-24683,Computer science,bayesian,one kind of statistical method,one kind of statistical method,100.0,True,True
engpidginedu-04284,Government,post,to send message / position for work,to send message / position for work,100.0,True,True
engpidginedu-04284,Government,executed,na wen di persin dem wey suppose sign done sign contract already,,0.0,False,False
engpidginedu-24553,Computer science,frequentist,one wey like frequency way,one wey like frequency way,100.0,True,True
engpidginedu-24553,Computer science,bayesian,one kind of statistical method,,0.0,False,False
engpidginedu-10463,English Language,repeatedly,every time / again and again,,0.0,False,False
engpidginedu-25385,Biology,maximum,de highest level / e no fit pass dere,de smallest / e no fit go down pass dat level,41.97,True,False
engpidginedu-25385,Biology,covered,something wey security or insurance don take care of,,0.0,False,False
engpidginedu-10242,English Language,argue,to drag mata / try to prove point,to drag mata / try to prove point,100.0,True,True
engpidginedu-25608,Biology,sues,E carry person go kote,,0.0,False,False
engpidginedu-11147,English Language,teach,to show person de way / lecture,,0.0,False,False
engpidginedu-06685,Business study,clauses,sections inside law or agreement,sections inside law or agreement,100.0,True,True
engpidginedu-15218,Computer science,internally,di inside or from inside di inside,inside law / wetin law gree make person do,20.19,True,False
engpidginedu-15867,Computer science,fashion,style of cloth wey de popular for one time,style of cloth wey de popular for one time,100.0,True,True
engpidginedu-14404,Computer science,iteration,doing the same thing again and again,doing the same thing again and again,100.0,True,True
engpidginedu-01963,Government,expressive,di expression wey dey characterized by expression,di expression wey dey characterized by expression,100.0,True,True
engpidginedu-02391,Government,narrow,small space / not wide,small space / not wide,100.0,True,True
engpidginedu-02391,Government,professionally,di professional manner wey dey professional manner for professional manner,,0.0,False,False
engpidginedu-09746,Business study,fire,di tin wey de show when somtin de burn,di tin wey de show when somtin de burn,100.0,True,True
engpidginedu-25616,Biology,thin,lean / something wey no thick,,0.0,False,False
engpidginedu-26226,Biology,molecules,"the smallest unit of a substance, wey get atoms joined together","the smallest unit of a substance, wey get atoms joined together",100.0,True,True
engpidginedu-24832,Biology,caused,wetin make de tin happen,wetin make de tin happen,100.0,True,True
engpidginedu-24832,Biology,respiratory,di respiration wey dey pertaining to respiration,,0.0,False,False
engpidginedu-09491,Business study,forth,to come out / move forward,,0.0,False,False
engpidginedu-09491,Business study,partners,people wey join body do business / paddy,,0.0,False,False
engpidginedu-09491,Business study,partnership,di members of business venture create by contract,di members of business venture create by contract,100.0,True,True
engpidginedu-25748,Biology,freely,free-free / anyhow,,0.0,False,False
engpidginedu-00992,Government,suggestion,di idea wey dey suggest for di idea wey dey suggest,di message wey dey describing how something dey done,24.57,True,False
engpidginedu-00992,Government,scrutiny,to check mata with searchlight / deep inspection,to check mata with searchlight / deep inspection,100.0,True,True
engpidginedu-21336,Computer science,distinct,different / clear,,0.0,False,False
engpidginedu-21336,Computer science,hypotheses,di proposal wey dey suppose explain certain facts or observations,di proposal wey dey suppose explain certain facts or observations,100.0,True,True
engpidginedu-08672,Business study,trading,business / exchange,business move / to follow person do trade,34.2,True,False
engpidginedu-08672,Business study,partners,people wey join body do business / paddy,people wey join body do business / paddy,100.0,True,True
engpidginedu-21019,Computer science,highest,de oga kpatakpata / top level,,0.0,False,False
engpidginedu-02661,Government,rare,no dey plenti,,0.0,False,False
engpidginedu-02661,Government,viewpoint,how person take see de mata / opinion,how person take see de mata / opinion,100.0,True,True
engpidginedu-00929,Government,constitutionality,if e follow de law of de land,,0.0,False,False
engpidginedu-00929,Government,fourteenth,number fourteen,number fourteen,100.0,True,True
engpidginedu-00929,Government,amendments,adjustments to change law or agreement,,0.0,False,False
engpidginedu-01349,Government,proving,to show prove / confirm,,0.0,False,False
engpidginedu-01349,Government,purposes,reasons why things dey happen,reasons why things dey happen,100.0,True,True
engpidginedu-01349,Government,preferred,dem like more,,0.0,False,False
engpidginedu-18468,Computer science,fully,well,,0.0,False,False
engpidginedu-18468,Computer science,inference,to guess from numbers,to guess from numbers,100.0,True,True
engpidginedu-11063,English Language,materials,tins wey dem use for teaching,,0.0,False,False
engpidginedu-20462,Computer science,assuming,to tink say na so e be / suppose,,0.0,False,False
engpidginedu-05609,Business study,dismiss,to sack / throwey case / tell person make e go,to sack / throwey case / tell person make e go,100.0,True,True
engpidginedu-05052,Business study,making,to dey build or produce something,,0.0,False,False
engpidginedu-05052,Business study,careful,to look well / watch out,,0.0,False,False
engpidginedu-19392,Computer science,capability,to get pawa to do somtin,how numbers dey different,7.65,True,False
engpidginedu-26057,Biology,waste,to trowey something wey useful / dirt,,0.0,False,False
engpidginedu-26057,Biology,products,all de things wey dem produce to sell,all de things wey dem produce to sell,100.0,True,True
engpidginedu-03061,Government,proceedings,all de things wey dey happen for kote or meeting,,0.0,False,False
engpidginedu-03061,Government,neither,no be one or di other,no be one or di other,100.0,True,True
engpidginedu-03061,Government,restrict,to hold back / put boundary,to hold back / put boundary,100.0,True,True
engpidginedu-20133,Computer science,setting,where de mata happen / environment,where de mata happen / environment,100.0,True,True
engpidginedu-24309,Computer science,analyse,to look somtin wella to sabi am,to look somtin wella to sabi am,100.0,True,True
engpidginedu-24309,Computer science,experimental,for experiment wey dey relating to or based on experiment,for experiment wey dey relating to or based on experiment,100.0,True,True
engpidginedu-24309,Computer science,somewhere,one place,,0.0,False,False
engpidginedu-08993,Business study,extend,to make am long / increase de reach,to make am long / increase de reach,100.0,True,True
engpidginedu-25008,Biology,greater,E big pass / more-more,big pass / more-more,94.71,True,True
engpidginedu-06432,Business study,larger,wey big pass,wey big pass,100.0,True,True
engpidginedu-06432,Business study,frequent,many times / always,di quantity wey fit fulfill need or requirement but without being abundant,9.92,True,False
engpidginedu-08211,Business study,interests,all de tins wey person eyes dey look / benefits,,0.0,False,False
engpidginedu-08211,Business study,recognise,to know,,0.0,False,False
engpidginedu-02584,Government,stolen,wetin thief carry / things wey loss by force,wetin thief carry / things wey loss by force,100.0,True,True
engpidginedu-23243,Computer science,predictors,wetin fit predict,wetin fit predict,100.0,True,True
engpidginedu-05395,Business study,honest,to de always talk true and to no do wayo,,0.0,False,False
engpidginedu-05014,Business study,election,di process wey pipu de use take vote,di process wey pipu de use take vote,100.0,True,True
engpidginedu-04068,Government,negligence,"na wen persin no dey give proper care, and dis cause harm","na wen persin no dey give proper care, and dis cause harm",100.0,True,True
engpidginedu-04068,Government,impose,to force law or fine for person head,to force law or fine for person head,100.0,True,True
engpidginedu-01815,Government,neutral,no-man's land / e no follow any side,,0.0,False,False
engpidginedu-04228,Government,impose,to force law or fine for person head,to force law or fine for person head,100.0,True,True
engpidginedu-04228,Government,strict,no-nonsense / follow de rule exactly,,0.0,False,False
engpidginedu-20964,Computer science,intuition,to understand wetin somtin mean when person neva think am,,0.0,False,False
engpidginedu-20964,Computer science,statisticians,pipo wey sabi statistics,pipo wey sabi science,54.28,True,True
engpidginedu-04205,Government,libel,na false written statement wey dey damage persin reputation,,0.0,False,False
engpidginedu-04205,Government,describing,di description wey dey give a description wey dey give,,0.0,False,False
engpidginedu-11289,English Language,assign,to give value,,0.0,False,False
engpidginedu-11289,English Language,gets,E dey collect / e reach,,0.0,False,False
engpidginedu-11289,English Language,published,na wen somtin dey make known or distribute through media,,0.0,False,False
engpidginedu-16952,Computer science,situations,kinds of mata wey fit happen for one place or time,kinds of mata wey fit happen for one place or time,100.0,True,True
engpidginedu-15264,Computer science,parent,papa or mama,,0.0,False,False
engpidginedu-15264,Computer science,child,pikin / smallie,pikin / smallie,100.0,True,True
engpidginedu-02430,Government,inquiry,ask-ask / find-out,,0.0,False,False
engpidginedu-10388,English Language,achieve,to make am / reach target / blow,,0.0,False,False
engpidginedu-10388,English Language,ends,where e finish / targets,,0.0,False,False
engpidginedu-10388,English Language,effectively,sharp sharp,,0.0,False,False
engpidginedu-04106,Government,speakers,talkers / sound boxes,,0.0,False,False
engpidginedu-04106,Government,comment,remark / talk,,0.0,False,False
engpidginedu-02416,Government,stolen,wetin thief carry / things wey loss by force,wetin follow de action / outcome of wahala,16.14,True,False
engpidginedu-02416,Government,congressional,concern de law-makers / National Assembly mata,,0.0,False,False
engpidginedu-02416,Government,meeting,gathering / discussion group,gathering / discussion group,100.0,True,True
engpidginedu-18838,Computer science,mention,to talk about am small,to talk about am small,100.0,True,True
engpidginedu-13416,History,objects,things / items,things / items,100.0,True,True
engpidginedu-24947,Biology,provided,as far as / if to say / supply,as far as / if to say / supply,100.0,True,True
engpidginedu-17225,Computer science,grammar,di rules for language,,0.0,False,False
engpidginedu-23492,Computer science,concerned,to dey worried,to dey worried,100.0,True,True
engpidginedu-24670,Computer science,sentence,prison time / group of words,prison time / group of words,100.0,True,True
engpidginedu-24670,Computer science,meaningless,na no meaning or direction or purpose or purpose or purpose,di usually follow by `of',3.85,True,False
engpidginedu-25635,Biology,lost,something wey miss / person wey no find im way,something wey miss / person wey no find im way,100.0,True,True
engpidginedu-02154,Government,convey,to pass message / move something from A to B,to pass message / move something from  to,90.21,True,True
engpidginedu-04252,Government,prominent,well-known or important,,0.0,False,False
engpidginedu-04252,Government,debate,fomal talk where two pipu dey talk against each oda,fomal talk where two pipu dey talk against each oda,100.0,True,True
engpidginedu-12088,Social studies,inform,to tell / give info,,0.0,False,False
engpidginedu-12088,Social studies,clients,customers / people wey hire expert,customer / person wey hire expert for work,62.87,True,True
engpidginedu-18752,Computer science,statisticians,pipo wey sabi statistics,pipo wey sabi science,54.28,True,True
engpidginedu-18752,Computer science,nevertheless,but still,even as e be so / still yet,31.53,True,False
engpidginedu-18154,Computer science,mathematically,we dey respect to mathematics wit respect to mathematics,,0.0,False,False
engpidginedu-18154,Computer science,unit,one single piece / section,,0.0,False,False
engpidginedu-00861,Government,broader,more wide / general pass,,0.0,False,False
engpidginedu-00861,Government,erotic,somtin wey de related to konji,,0.0,False,False
engpidginedu-25723,Biology,freely,free-free / anyhow,,0.0,False,False
engpidginedu-06585,Business study,physician,doctor,,0.0,False,False
engpidginedu-25545,Biology,decrease,make somtin de turn to small,make somtin de turn to small,100.0,True,True
engpidginedu-25545,Biology,ratio,wey get true zero,wey get true zero,100.0,True,True
engpidginedu-25413,Biology,extend,to make am long / increase de reach,to make am long / increase de reach,100.0,True,True
engpidginedu-11845,Social studies,unnecessary,we no need necessary,we no dey known or well known or well known,15.15,True,False
engpidginedu-22944,Computer science,equally,same-same / level ground,same-same / level ground,100.0,True,True
engpidginedu-22944,Computer science,straightforward,di ambiguity dey free from ambiguity,di ambiguity dey free from ambiguity,100.0,True,True
engpidginedu-22944,Computer science,variability,how numbers dey different,,0.0,False,False
engpidginedu-23859,Computer science,statisticians,pipo wey sabi statistics,pipo wey sabi science,54.28,True,True
engpidginedu-23324,Computer science,distributed,how dem put themselves,how dem put themselves,100.0,True,True
engpidginedu-05161,Business study,preserving,di cause to remain or last,,0.0,False,False
engpidginedu-09828,Business study,alleged,wetin dem talk say happen but never get proof,wetin dem talk say happen but never get proof,100.0,True,True
engpidginedu-09828,Business study,discriminatory,to partial / treat person bad because of who dem be,,0.0,False,False
engpidginedu-09828,Business study,taking,to carry / to collect,,0.0,False,False
engpidginedu-11384,Social studies,enforcement,di act of enforcing,di act of enforcing,100.0,True,True
engpidginedu-10472,English Language,relief,better feeling / wetin person get from kote,to keep for hand / possession of property,12.74,True,False
engpidginedu-10472,English Language,contact,to touch / reach out to person / connection,,0.0,False,False
engpidginedu-10472,English Language,email,electronic message wey person de send or collect on top internet,electronic message wey person de send or collect on top internet,100.0,True,True
engpidginedu-22345,Computer science,relies,E lean on / trust,lean on / trust,92.01,True,True
engpidginedu-22345,Computer science,extent,how far de tin reach / level,how far de tin reach / level,100.0,True,True
engpidginedu-02876,Government,entitled,to get right to something / e gats reach your hand,to get right to something / e gats reach your hand,100.0,True,True
engpidginedu-23375,Computer science,indicating,di signal wey be signal for or symptom of symptom of,di signal wey be signal for or symptom of symptom of,100.0,True,True
engpidginedu-05657,Business study,statutes,laws wey dem write put for book,,0.0,False,False
engpidginedu-05657,Business study,forth,to come out / move forward,,0.0,False,False
engpidginedu-05657,Business study,defendants,people wey dem carry go court to answer mata,people wey join body do business / paddy,24.73,True,False
engpidginedu-04447,Business study,jurisprudence,way to reason law,way to settle de damage / solution,25.35,True,False
engpidginedu-04447,Business study,greater,E big pass / more-more,,0.0,False,False
engpidginedu-04018,Government,impose,to force law or fine for person head,to force law or fine for person head,100.0,True,True
engpidginedu-06559,Business study,interstate,between two or more states / travels,,0.0,False,False
engpidginedu-06559,Business study,commerce,big-time buying and selling,big-time buying and selling,100.0,True,True
engpidginedu-16095,Computer science,annoying,e dey vex,,0.0,False,False
engpidginedu-22740,Computer science,curious,make person wan know somtin wey e no sabi before,,0.0,False,False
engpidginedu-09357,Business study,encourage,to ginger / support,to ginger / support,100.0,True,True
engpidginedu-09357,Business study,violate,to break law / go against rule,,0.0,False,False
engpidginedu-09357,Business study,training,to learn work / practice to sabi something well,,0.0,False,False
engpidginedu-07031,Business study,merchants,many big traders / market people,,0.0,False,False
engpidginedu-07031,Business study,purchase,to buy market / transaction,to buy market / transaction,100.0,True,True
engpidginedu-07031,Business study,materials,tins wey dem use for teaching,tins wey dem use for teaching,100.0,True,True
engpidginedu-14623,Computer science,recover,"na obtain money, property, or relief from court judgment","na obtain money, property, or relief from court judgment",100.0,True,True
engpidginedu-14623,Computer science,files,folders / official papers / computer data,folders / official papers / computer data,100.0,True,True
engpidginedu-08577,Business study,owned,wetin person get for hand / property,wetin person get for hand / property,100.0,True,True
engpidginedu-03858,Government,inconsistent,E dey show lack of consistency,,0.0,False,False
engpidginedu-12680,Social studies,couple,two / husband and wife,two / husband and wife,100.0,True,True
engpidginedu-12680,Social studies,adult,big person / person wey don pass 18,,0.0,False,False
engpidginedu-16352,Computer science,mistake,error / skip / something wey person no do well,error / skip / something wey person no do well,100.0,True,True
engpidginedu-16352,Computer science,mention,to talk about am small,,0.0,False,False
engpidginedu-06096,Business study,mediation,follow-dem-talk-make-dem-settle,follow-dem-talk-make-dem-settle,100.0,True,True
engpidginedu-00849,Government,sought,bin find / bin look for,bin find / bin look for,100.0,True,True
engpidginedu-00849,Government,punish,to discipline / give wahala,to discipline / give wahala,100.0,True,True
engpidginedu-00849,Government,communication,di activity of communicating,di activity of communicating,100.0,True,True
engpidginedu-09132,Business study,convicted,na wen court or jury find persin guilty of criminal charge,na wen court or jury find persin guilty of criminal charge,100.0,True,True
engpidginedu-10301,English Language,unfamiliar,we no dey known or well known or well known,we no dey known or well known or well known,100.0,True,True
engpidginedu-13042,Social studies,challenges,di demanding or stimulating situation a demanding or stimulating situation,di demanding or stimulating situation a demanding or stimulating situation,100.0,True,True
engpidginedu-12024,Social studies,decrease,make somtin de turn to small,make somtin de turn to small,100.0,True,True
engpidginedu-17349,Computer science,selling,to trade market / business,,0.0,False,False
engpidginedu-04511,Business study,fairness,equal treatment / no wayo,equal treatment / no wayo,100.0,True,True
engpidginedu-02519,Government,expressing,di expression wey dey give expression to give expression,,0.0,False,False
engpidginedu-02519,Government,sacrifice,give up beta tin for anoda,,0.0,False,False
engpidginedu-02519,Government,accomplishment,di action of accomplishing something,,0.0,False,False
engpidginedu-14547,Computer science,folder,di place wey you keep work,many different-different types,8.96,True,False
engpidginedu-12190,Social studies,root,di main place wey everything start,di main place wey everything start,100.0,True,True
engpidginedu-12155,Social studies,recognition,to sabi person / award,,0.0,False,False
engpidginedu-12155,Social studies,older,senior / old pass,mistakes / faults,9.39,True,False
engpidginedu-05027,Business study,election,di process wey pipu de use take vote,di process wey pipu de use take vote,100.0,True,True
engpidginedu-19827,Computer science,subtraction,minus,,0.0,False,False
engpidginedu-01061,Government,deliver,to carry something reach owner hand,to carry something reach owner hand,100.0,True,True
engpidginedu-12545,Social studies,vast,very big / plenty,,0.0,False,False
engpidginedu-11866,Social studies,regularly,steady / every time,,0.0,False,False
engpidginedu-12003,Social studies,unions,join-body groups / workers association,join-body / workers' group,48.64,True,False
engpidginedu-07733,Business study,mills,factories / places where dem dey grind things,,0.0,False,False
engpidginedu-07733,Business study,beach,di place wey get sand or small small stone beside oshimiri,,0.0,False,False
engpidginedu-02203,Government,expressly,direct / dem talk am clear-clear,,0.0,False,False
engpidginedu-02203,Government,construction,di act of construct something,,0.0,False,False
engpidginedu-02203,Government,precise,correct / exact,,0.0,False,False
engpidginedu-24934,Biology,excess,extra / surplus,extra / surplus,100.0,True,True
engpidginedu-24934,Biology,raises,to carry go up / add money,,0.0,False,False
engpidginedu-01140,Government,nations,obodo / different-different countries,obodo / different-different countries,100.0,True,True
engpidginedu-25805,Biology,flow,to move steady / water waka,to move steady / water waka,100.0,True,True
engpidginedu-19908,Computer science,copy,photocopy / duplicate,,0.0,False,False
engpidginedu-24599,Computer science,beliefs,wetin you believe,wetin you believe,100.0,True,True
engpidginedu-24599,Computer science,hypotheses,di proposal wey dey suppose explain certain facts or observations,di proposal wey dey suppose explain certain facts or observations,100.0,True,True
engpidginedu-24599,Computer science,revised,dem check am again / change small,,0.0,False,False
engpidginedu-26079,Biology,ratio,wey get true zero,wey get true zero,100.0,True,True
engpidginedu-13310,Social studies,unauthorized,without go-ahead / illegal move,,0.0,False,False
engpidginedu-02458,Government,inevitable,di unavoidable event don dey unavoidable event,,0.0,False,False
engpidginedu-02458,Government,views,how people take see de mata,how people take see de mata,100.0,True,True
engpidginedu-02458,Government,seeks,person wey dey find / look for,person wey dey find / look for,100.0,True,True
engpidginedu-01879,Government,ordinance,local government law / official order,local government law / official order,100.0,True,True
engpidginedu-01879,Government,expressive,di expression wey dey characterized by expression,di expression wey dey characterized by expression,100.0,True,True
engpidginedu-24661,Computer science,daily,make somtin de sup every day,,0.0,False,False
engpidginedu-24661,Computer science,humans,pipo,pipo,100.0,True,True
engpidginedu-24661,Computer science,meaningful,di meaning or purpose dey having a meaning or purpose,di meaning or purpose dey having a meaning or purpose,100.0,True,True
engpidginedu-08996,Business study,warrant,official paper to arrest person or search house,official paper to arrest person or search house,100.0,True,True
engpidginedu-08996,Business study,probable,likely / fit happen,,0.0,False,False
engpidginedu-14252,Computer science,items,different things / materials,different things / materials,100.0,True,True
engpidginedu-11552,Social studies,rebuttal,A strong argument wey person give to fight against an accusation,,0.0,False,False
engpidginedu-11552,Social studies,processing,di prescribed procedure dey preparing or putting through a prescribed procedure,,0.0,False,False
engpidginedu-23816,Computer science,comparison,di act of examining resemblances wey dey examinin resemblances,,0.0,False,False
engpidginedu-01387,Government,crowd,many pipu wey stay for on place,,0.0,False,False
engpidginedu-01387,Government,began,bin start / how e take take off,bin start / how e take take off,100.0,True,True
engpidginedu-14545,Computer science,communicate,di transmit information wey dem transmit information,di transmit information wey dem transmit information,100.0,True,True
engpidginedu-22602,Computer science,larger,wey big pass,wey big pass,100.0,True,True
engpidginedu-05460,Business study,complexities,di quality of being intricate and compounded,organizations / separate things or bodies,14.31,True,False
engpidginedu-05460,Business study,success,victory / when plan work well,victory / when plan work well,100.0,True,True
engpidginedu-05460,Business study,representing,standing for person,,0.0,False,False
engpidginedu-19746,Computer science,coerce,to change by force,,0.0,False,False
engpidginedu-10043,English Language,critique,analysis of somtin wey dey detailed,,0.0,False,False
