Technical_terms,Literal meaning,pidgin meaning
Accommodative role,"A role that prioritizes providing information that caters to the interests and needs of the audience, treating them as consumers rather than citizens","Role wey dey accommodate, wey journalists dey take provide tori wey go sweet audience ear, make dem feel like customers, no be like citizens wey get right to know wetin dey happen"
accompanied,be present or associated with an event or entity,Dem present or associated wit event or entity or entity or entity
accompanying,happening together with something,Accompanying na wen sometin follow anoda tin
accomplish,to successfully complete or fulfill something,"to don am, mean say dem go fit finish am or make am happen"
accomplished,put in effect,Di effect wey dey put in effect
accomplished,Successfully finished.,Person wey sabi work / finish work
accomplishment,the action of accomplishing something,Di action of accomplishing something
accomplishment,Something successfully achieved through effort.,Somtin wey blow with effort.
accord,An agreement between parties to settle a dispute or modify an existing obligation by substituting a new performance.,na agreement wey parties dem reach to settle dispute or change di old obligation
accord,A formal agreement between two or more parties.,Agreement between two or more pipu or parti.
accord,"Give or grant someone (power, status, or recognition).",Agreement / to give respect
accordance,concurrence of opinion,Di concurrence of opinion of opinion
accordance,In a manner conforming with.,E follow de rule / as dem talk am
according,As stated by or in periodically with.,Follow wetin dem talk / based on
accordingly,(sentence connectors) because of the reason given,Di reason wey dey give (sentence connector) bikos of di reason wey dey give
accordingly,In a way that is appropriate to the particular circumstances.,Based on de way things be / follow suit
accordion,"a musical instrument with a keyboard or buttons that you press to make sound, typically having a set of bellows that you squeeze and expand to produce the sound, also used to describe something that can be folded in a similar way","kordá»n, be instrument wey dey make sound, but for dis context, e mean say dem fold am like somtin wey dey open and close, like say map wey dem fold like kordá»n"
account,to consider or take into consideration,to take into account
account,A report or description of an event or experience; a record of financial transactions.,Report / how money take enter and comot
accountability,responsibility to someone or for some activity,Di responsibility to someone or for some activity
accountability,Being responsible for your actions and their consequences.,To de responsibu for somtin wey you do.
accountability,The fact or condition of being accountable; responsibility.,explain-how-you-spend / answer-for-your-work
Accountable,Responsible for one's actions and able to explain or justify them when required,"Person wey dey ansa for im action, fit explain why im do sometin"
Accountable,"Responsible for explaining or justifying one's actions, and willing to be punished or rewarded for them","Dem go dey ansa for wetin dem do, dem no go fit hide, dem go dey giv account say why dem take do am, make dem no go punish or reward dem as e dey"
Accountable,"Responsible for one's actions and able to explain or justify them when required, especially to a higher authority or in a position of trust","Dem go dey ansa to dem action, dem no go fit hide, dem go dey giv reason why dem do wetin dem do, especially to person wey be dem oga or to person wey dem trust"
accountable,"being responsible and answerable for one's actions, to take ownership of and acknowledge the consequences of one's decisions and behavior","to dey responsible, make person fit query you for wetin you do, and you go fit explain why you do am, no go dey hide or shift blame"
accountable,liable to account for one's actions,Di liable to account for one's actions
accountancy,the occupation of maintaining and auditing records and preparing financial reports for a business,Di occupation of maintaining and auditing records and preparing financial reports for business
accountant,someone who maintains and audits business accounts,someone wey dey maintain and audit business account accounts
accountant,A person who manages financial records professionally.,Person wey de work on record of moeny.
accounting,"the act of recording, classifying, and reporting financial information to monitor and control economic activities","akawntin na im mean say dey dey record, arrange, and tok am for pipo wey dey manage moni, make dem sabi wetin dey happen for business, and take control of moni mata"
accounting,a convincing explanation that reveals basic causes,Di convincing explanation wey dey reveal basic causes
accounting,The action or process of keeping financial accounts.,To calculate money / run bank records
accounts,Records or statements of financial expenditure and receipts.,Bank statement / records of money movement
accreditation,official recognition or approval,Accreditation na wen pipu for top don approve something
accreditation,the act of granting credit or recognition (especially with respect to educational institution that maintains suitable standards),Di act of grant credit or recognition (especially wit respect to educational institution wey dey maintain suitable standards)
accredited,grant credentials to,Dem grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant credentials to grant
acculturated,Having adopted many norms and behaviours of a new culture,Person wey don take on many of the ways and behaviours of a new culture
acculturation,The process of adapting to a new culture while retaining aspects of the original culture,Di process of adjusting to a new culture while still keeping parts of your own culture
acculturation gap,Differences in the pace of cultural adaptation between parents and children in immigrant families,"When immigrant parents and children adjust to new culture at different speeds, causing conflict"
acculturation model,A framework describing the process of cultural change in immigrants and refugees,A framework describing how immigrants change and adapt their culture after moving to a new country
acculturative stress,Psychological stress caused by the process of adapting to a new culture,Di mental and emotional pressure wey person feel when dem dey adjust to living in a new culture
accumulate,get or gather together,We dey get or gather together
accumulation,an increase by natural growth or addition,Di increase by natural growth or addition
accumulation,The build-up of material inside a system.,up of material inside a system 
accumulator,A device or system that collects and stores energy or data.,Somtin wey de keep energy or data.
accuracy,"the quality or state of being correct or precise, especially in relation to facts, information, or measurements","sabi wetin dey happen, no dey carry fake tori, e mean say everytin wey you talk or write, suppose be true, no be lie, make e dey correct, no dey make mistake"
accuracy,"the quality or state of being correct or precise, especially in relation to facts or information","sabi wetin dey happen, no dey carry fake tori, e mean say everytin wey you write or talk, dem suppose be true, no be lie"
accuracy,"the degree to which something is accurate, or correct, often expressed as a percentage","how e dey correct, or how e dey reach, we dey talk about am for percent, like say 87.5 percent, mean say our result sabi follow wetin dey happen, no be guess work"
accuracy,How correct or precise something is.,How somtin take de correct.
Accuracy,how correct or free from error something is,how sure and correct something be
accuracy checklist,"a list of items or tasks to be checked in order to ensure the accuracy and correctness of information, especially in a specific context such as writing or research","list of things wey you suppose check well well, make sure say everything correct, like name of person, company, title, and place wey dey inside story, to avoid mistake"
accurately,with few mistakes,For few mistakes wit few mistakes wit few mistakes wit few mistake
accusation,a statement or expression that someone has done something wrong or is to blame for something,tori wey dey talk say person do something wrong or dem dey blame am for something
accused,A person charged with committing a crime or wrongdoing.,Person wey dem talk say e do bad.
accused,A person or group of people who are charged with or on trial for a crime.,Person wey dem talk say e do bad
accustomed,make psychologically or physically used (to something),Wey make psychologically or physically use (to something)
achievable,capable of existing or taking place or proving true; possible to do,As we dey capable of existing or take place or proving true; possible to do to do true; possible to do to do true
achievable,Something that can be done or reached with effort.,Somtin wey de possible.
achieve,Successfully bring about or reach (a desired objective or result).,To make am / reach target / blow
achievement,A goal successfully reached after hard work.,Somtin wey sup after hardwork.
acid,"A chemical substance that can react with other materials, often used in processes to change or produce new substances", chemical wey fit mix and react with other things
acknowledged,Accepted or admitted the existence or truth of.,Greet / agree say na so
acknowledgement,the state or quality of being recognized or acknowledged,Di state or quality of being recognized or acknowledged or acknowledged or acknowledged
Acknowledgements,"A statement expressing gratitude or appreciation for help or support given to someone, typically in a formal or public context, such as in a book or academic publication","Tori wey dey show say dem thank pesin wey don help dem, either for moni or advice, and dem dey write am for book or paper, make everybody sabi"
acknowledging,declare to be true or admit the existence or reality or truth of,Dem declare to be true or admit di existence or reality or truth of di existence or reality or truth of
acknowledgment,Recognizing or admitting that something exists or happened.,To know say somtin de abi say somtin happen.
ACLs,"Access Control Lists, which are a mechanism for controlling access to resources based on a set of rules","dem dey call am Access Kontrol List, wey be like one way to control who fit use somtin and how dem go use am, based on wetin dem don set"
acme,"The point at which someone or something is best, perfect, or most successful.",De peak / de highest level of success
acompanies,Goes along with or is attached to something else.,De follow abi de tag along with somtin or person.
acoustic,relating to sound or hearing, something wey concern sound or the ear
acquire,Buy or obtain (an asset or object) for oneself.,To get / collect
acquire more ways to understand,gain additional methods to comprehend,go get more ways to understand
acquired,Bought or obtained for oneself.,Bin get / collect / buy
acquiring,Buying or obtaining.,Getting / collecting
acquisition,obtaining or gaining possession of something,Acquisition na say you get something wey go be your own.
acquisition,gaining or obtaining something,Acquisition na say person get sometin
acquisition,the act of contracting or assuming or acquiring possession of something,Di act of contracting or assuming or acquiring possession of something
acquisition,The process of getting or buying something new.,To buy somtin new.
acronym,A word formed from the first letters of other words.,Word wey dem use the first letters of many words form.
across years,over different years,from year to year
act,A thing done; or a formal decision by a legislative body.,Wetin person do / law wey dem don pass
actant,"An entity that plays a role in a system or process, often used in actor-network theory to describe non-human objects or systems that influence or are influenced by human actions","Tin wey dey take part for system or proses, like for actor-network tori, dem dey call am actant, mean say e fit be machine or any other tin wey no be human, wey dey influence or dey take influence from human action"
actant,"An entity that plays a role in a system or process, often used in sociology and philosophy to describe human or non-human actors that influence or are influenced by their environment","Tin wey dey take part for system or proses, wey fit be human being or not, wey dey affect or dey get affect by wetin dey happen around am"
actant,"An entity that plays a role in a system or process, often used in semiotics and actor-network theory to describe an object or thing that has agency and can influence the behavior of other entities","Tin wey dey take action for system or proses, e mean sometin wey get power to do sometin, like say e dey influence wetin odas dey do, e no be only human being, e fit be machine or anytin wey dey take part for system"
actant,"An entity that plays a role in a system or process, often used in sociology and philosophy to describe non-human entities that have agency and can influence the behavior of human actors","Tin wey dey take action for sometin, no be only human being, e fit be machine or anytin wey dey do sometin, wey dey take role for inside one system or process, like say for sociology or philosophy, dem dey use am describe sometin wey no be human, wey get power to do sometin, wey fit affect human being behavior"
Actant,"An entity that plays a role in a system or process, whether human or non-human, that has the ability to modify or influence the behavior of other entities within that system","Tin wey dey take action for inside system or process, e fit be person or tin wey no be person, wey get power to change or affect wetin odas dey do for inside dat system"
Actant,"An entity that plays a role in a system or process, whether human or non-human, that has the ability to make a difference or have an effect","Tin wey dey take action for system or proses, e fit be human being or no be human being, wey get power to make change or affect sometin"
actant,"An entity that plays a role or has an effect in a system or process, often used in actor-network theory to describe non-human entities that influence human behavior or decision-making","Tin wey dey take action for inside system or process, like for example machine or app wey dey influence human being behavior or decision"
acted,Took action; did something.,Bin do de work / bin behave like dat
acting,Performing a particular role or function temporarily.,Person wey dey hold office for small tayam / to play part
action,The process of doing something to achieve a result.,To do somtin.
action recommendations,Suggestions or advice from experts on what steps to take to address a problem or issue,"Torii wey expert dem dey give, wey go help journalist dem find way to solve problem for dia report, so dem no go just dey talk say problem dey, dem go still talk say dis na wetin we fit do to solve am"
action research,research done by practitioners,research wey di teachers demself do
action research,a book title,one book name
action research by educators,that method done by teachers,action research wey teachers do
action research in practice,doing action research for real,action research for real life
action research journal title,a publication name,one journal name
action research offers teachers a way,action research gives instructors a method,action research dey give teachers one way
action research: a guide for the teacher researcher,a book title,one book name for teachers
actionable,Capable of being the subject of a legal action or lawsuit; constituting grounds for bringing a claim in court.,"na grounds wey fit justify case for court, or subject wey fit be lawsuit"
actionable,Giving sufficient reason to take legal action.,Mata wey fit go court
actions,"The fact or process of doing something, typically to achieve an aim.",All de things wey person dey do / steps taken
activation energy,minimum energy required for a reaction to occur, the least energy wey must dey before reaction fit start
active,Engaging or ready to engage in physically energetic pursuits.,Person or tin wey dey move / e dey function
Active Learning,"an instructional approach in which students are engaged and participate in the learning process, constructing knowledge by solving complex problems rather than passively receiving information","one kind teaching method wey dey make students dey active for class, dem no just dey sit down dey listen, dem dey engage with wetin dem dey learn, dem dey find solution to hard problem, dem no just dey recall tori wey dem don teach dem"
Active measures,"A term used to describe a range of covert, strategic, and often deceptive activities employed by a state to undermine and disrupt the governance of opposing nation-states, while strengthening the positions of its allies","Dem dey call am 'active measures', be say na way wey one kontri dey take do tins wey go weaken anoda kontri wey dem no dey agree, all dis one na to make dem own friend kontri strong, dem go dey use am take chook eye for anoda kontri, make dem no go fit do wetin dem wan do"
Active measures,"A term used to describe a range of covert, strategic, and often deceptive activities employed by a state to undermine and disrupt the governance of opposing nation-states, while strengthening the positions of its allies","Dem dey use 'active measures' wen be say dem go dey take some kain strategy wey go undermine and disrupt govment of anoda kontri wey dem no dey agree wit, all dis one na to make dem own allies strong pass"
activism,The policy or action of using vigorous campaigning to bring about political or social change.,fight-for-right / social-crusade
activities,any specific behavior,Di specific behavior no dey specific behavior any specific behavior
activities,Things that a person or group does or has done.,All de works or actions wey dey happen
activity,A thing that someone does for a purpose or enjoyment.,Somtin wey person de do.
activity,The condition in which things are happening or being done.,Action / wetin dey go on
actor,"A person who performs roles in film, theatre, or TV.",Person wey de act feem.
acts,Plural of act; things done or formal decisions by a legislative body.,Deeds / many laws wey don pass
actual,"Existing in fact and reality, as opposed to being presumed or implied by law; used to distinguish real events, damages, or notice from those legally assumed.","na something wey actually happen for real, not just suppose happen by law"
actual,Existing in fact; real.,De real-real tin / wetin dey ground
actual date,true calendar day,di real day
actualising,make real or concrete; give reality or substance to,For reality or substance to give reality or substance to give reality or substance to give reality or substance to give reality or substance to give reality or substance to give reality or substance to give reality or substance to give reality or substance to give reality or substance to give reality or substance to give reality or substance to give reality or substance to give reality or substance to give reality or substance to give reality or substance to give reality or substance to give reality or substance to give reality or substance to give reality or substance to give reality or substance to give
actually,in fact,for true
actually,Used to emphasize that something is the case or is true in reality.,Real-real / as e be so
actually a very simple one,truly easy,e be very simple
actually calculate,to compute for real,to really find
actually determine,to find out,to really know
actually had very different views,truly held contrasting opinions,get very different thoughts
actus,The guilty act or criminal deed in a crime; the physical action that constitutes the material element of an offense.,na guilty act or crime action wey constitute di physical element of offense
acupuncture,A traditional Chinese medicine practice involving inserting thin needles into specific body points to treat illness,A traditional medical practice wey insert small needles into specific points of the body to treat sickness
Ad-tech,"Advertising technology, which refers to the software and tools used to deliver, target, and measure online advertisements, often using data and profiles to match ads with specific demographics or user behaviors","Teknologi wey dey help dem show advert for internet, wey dem dey use data and profile take know which kind person go like which kind advert, make dem show am to dem based on wetin dem sabi about dem"
Adams-Bashforth method,explicit multistep method for solving differential equations, straightforward method wey use multiple past points to solve equations
Adams-Moulton method,implicit multistep method for solving differential equations, method wey use both past and future estimates to solve equations
adaptation,a written work (as a novel) that has been recast in a new form,Di written work (as a novel) wey dey recast for new form
adaption,The process of changing to fit a new situation.,To change because of new update.
adaptive work,"Work requiring changes in values, beliefs, or behaviours to solve complex problems",Work wey require you to change your thinking and values to tackle hard problems
add,Join (something) to something else.,Put join / plus
add a subtitle,to include a secondary heading,to put small name
add a title,to include a heading,to put name
add new functionality,include additional features,to add new work
add them up,to combine,to add dem
add these two numbers together,to combine these values,to add dese two numbers
added,"Joined (something) to something else so as to increase the size, number, or amount.",Bin join follow / increase
added to,combined with,to add
addict,A person who is dependent on a substance or habit.,Person wey de always take or do somtin.
addiction,A chronic condition involving compulsive use of substances or engagement in behaviours despite negative consequences,"When person get strong, uncontrollable urge to use drugs or do certain behaviour even when e dey hurt dem"
addition,The action or process of adding something to something else.,Extra join-body / to add more
additional,further or added,For further or add further or add add further or add add further or add add further or add add further or add add further or add add further or add add further or add add
additional,"Added, extra, or supplementary to what is already present.",Extra one / follow-up
additional information,extra details,extra information
additionally,As an extra factor or circumstance.,Join am follow / plus
address,The particulars of the place where someone lives or an organization is situated.,Where house dey / to talk to group
addressed,"Speak to (a person or an assembly), typically in a formal way.",Bin talk to / dem don treat de mata
addressing,speak to,We dey speak to say we dey speak to dem
addressing,Think about and begin to deal with (an issue or problem).,Handling mata / talking to
adequate,Satisfactory or acceptable in quality or quantity.,E reach / e okay / no be too much but e do
adequately,in an adequate manner or to an adequate degree,Di adequate manner or to an adequate degree or to an adequate degree or to an adequate degree
adherence,following rules or beliefs closely,Adherence na to follow beliefs well well
adjectival,of or relating to or functioning as an adjective,Di adjective of or relating to or function as adjective
adjectives,a word that expresses an attribute of something,Di word wey express attribute of something
adjourn,"Break off (a meeting, legal case, or game) with the intention of resuming it later.",shift-meeting / make-we-rest-first
adjudicator,An official who makes formal judgments or decisions in disputes,An official person wey make decisions and judge cases
adjunct,added as a helper or support,Adjunct na sometin wey dem add to help or support for situation
adjunct,A thing added to something else as a supplementary rather than an essential part.,Support / assistant
adjustable,capable of being changed so as to match or fit,Di capable of being change so as to match or fit
adjustable cells,variables that can be changed in optimization problems, things wey you fit adjust when you dey solve optimization
administer,work in an administrative capacity; supervise or be in charge of,Di administrative capacity; supervise or be in charge of di administrative capacity; supervise or be in charge of dem
administering,managing or overseeing operations,Administering na to dey manage things wey dey sup.
administration,management of systems or organizations,Administration na how person take manage tins
administration,a method of tending to or managing the affairs of a some group of people (especially the group's business affairs),Di method wey dey tend to or managing di affairs of some group of pipo (especially di group business affairs)
administration,The management and organization of a system or office.,Di management or arrangement of somtin or office.
administration,The process or activity of running a business or organization.,Office management / how dem dey run de system
administrative,of or relating to or responsible for administration,For administration of or relating to or responsible for administration
administrative,"Relating to the running of a business, organization, etc.",Office mata / how dem dey run de organization
administrators,"people who manage and direct the operations of an organization, such as a school","pipo wey dey manage and direct tin-tin wey dey happen for skul, dem be like ogas wey dey take care of skul mata"
administrators,someone who administers a business,someone wey dey administer business business
administrators,"Persons responsible for running a business, organization, etc.",People wey dey manage office / gofment workers
adminstrator,person responsible for managing an organization or system,Administrator na di person wey dey manage something.
admissible,deserving to be admitted,E dey admitted
admission,"The process or fact of entering or being allowed to enter a place, organization, or institution.",Entrance / to gree say person enter
admissions,Confessions or acknowledgments of a fact.,To gree say na you do am / entrance to school
admitted,Confessed to be true or to be the case.,Bin gree / bin enter (like school)
AdMob,AdMob is a mobile advertising platform owned by Google that allows app developers to monetize their mobile applications,"AdMob na platform wey dey help developers wey dey create app for phone make money from dem app, Google na im get am"
adolescents,a juvenile between the onset of puberty and maturity,Di juvenile wey dey between di onset of puberty and maturity
adopt,Legally take (another's child) and bring it up as one's own; follow a style.,To carry pickin take as your own / follow a style
adopted,Legally take another's child and bring it up as one's own; choose to follow.,To take pikin as your own / pick new style
adoption,The action or fact of legally taking another's child.,To carry pickin take as your own / to start using new style
adr,"Alternative Dispute Resolution: methods of resolving legal disputes outside of court, such as mediation or arbitration.","na way wey persin fit resolve dispute outside court, like mediation or arbitration"
adult,A person who is fully grown or developed.,Big person / person wey don pass 18
adult (21‑40),grown age,adult
adults,People who are fully grown or developed.,Big people / matured
advance,To move forward or make progress in something.,To go front for somtin.
advance,"Move forward, typically in a purposeful way.",To move go front / money dem pay ahead
advanced,Far on in development or progress.,High-level / front
Advanced Encryption Standard (AES),A symmetric block cipher developed to secure data by encrypting it in blocks using the same key for encryption and decryption,"AES na one kind crypto wey dem develop to protect data, e dey use one key to lock and open, e come replace DES wey no secure again"
Advanced Persistent Threat (APT),A sophisticated and ongoing threat to computer systems or networks from a group with significant resources and capabilities,"Dem dey call am 'Advanced Persistent Threat' (APT), mean say na group wey get plenty resources and power, dey threat computer system or network, and dem no go stop, dem go dey persist, dey try find way enter or destroy am"
advanced search functionality,"a feature that allows users to search for specific information using complex criteria, such as keywords, dates, and locations, in order to get more precise and relevant results","one kind feature wey dey allow users to find specific tori with complex criteria, like keywords, dates, and locations, so dem fit get result wey precise and relevant well well"
advanced search functionality,the features and capabilities of a search engine that allow users to refine and narrow down their search results using specific parameters and options,"di way wen search engine dey gree make you find wetin you dey look for, with plenty option wey go help you sabi wetin you dey search, like put keyword, date, and odas, wey go make your search boku sharp and accurate"
advanced users,experienced people,pipo wey sabi well
advancement,encouragement of the progress or growth or acceptance of something,Di encouragement of di progress or growth or acceptance of something
advances,Moves forward.,Progress / front money
advantage,A condition or circumstance that puts one in a favorable or superior position.,Upper hand / better chance
advantageous,giving an advantage,Di advantage wey dey give advantage
advantages,the quality of having a superior or more favorable position,Di quality of having superior or more favorable position of having superior or more favorable position
advantages,Conditions or circumstances that put one in a favorable position.,Grains / beta side
