en,pcm,Subject
"plaintiffs argue that the reference to""any contribution""in this finding meant only monetary support.","Di plaintiffs argue say di reference to""any contribution""for dis finding meant only monetary support",Government
"there is no reason to read the finding to be so limited, particularly because congress expressly prohibited so much more than monetary support in 2339b.","Nano reason to read di finding to be so limited, particularly because congress expressly prohibited so much more than monetary support for 2339b.",Government
"congress's use ofthe term""contribution"" is best read to reflect a determination that any form of material support furnished""to"" a foreign terrorist organization should be barred, which is precisely what the material-support statute does.","Di congress's use of di term""contribution"" dey best read to reflect determination say any form of material support wey dey furnished""to"" foreign terrorist organization go dey barre, wey dey exactly what di material-support statute does.",Government
"indeed, when congress enacted 2339b, congress simultaneously removed an exception that had existed in 2339a(a) (1994 ed.)","As congress enacted 2339b, congress simultaneously remove an exception wey dey exist for 2339a(a) (1994 ed.)",Government
"for the provision of material support in the form of""humanitarian assistance to persons not directly involved in""terrorist activity.","For di provision of material support for di form of""humanitarian assistance to persons no directly involved for""terrorist activity.",Government
"aedpa 323, 110 stat.","Di aedpa 323, 110 stat",Government
that repeal demonstrates that congress considered and rejected the view that ostensibly peaceful aid would have no harmful effects.,Dem consider and reject di view say ostensibly peaceful aid go get no harmful effect.,Government
we are convinced that congress was justified in rejecting that view.,We dey convinced say congress dey justified for reject say view,Government
the pkk and the ltte are deadly groups.,Di pkk and di ltte deadly groups,Government
"""the pkk's insurgency has claimed more than 22, 000 lives.""","Di pkk's insurgency don claim more than 22, 000 lives",Government
"the ltte has engaged in extensive suicide bombings and political assassinations, including killings ofthe sri lankan president, security minister, and deputy defense minister.","Di ltte don engage for extensive suicide bombings and political assassinations, including killing of di sri lankan president, security minister, and deputy defense minister.",Government
"""on january 31, 1996, the ltte exploded a truck bomb filled with an estimated 1, 000 pounds of explosives at the central bank in colombo, killing 100 people and injuring more than 1, 400.","Na january 31, 1996, di ltte exploded truck bomb filled wit 1, 000 pounds of explosives for di central bank for colombo, killing 100 pipo and injuring more than 1, 400.",Government
"this bombing was the most deadly terrorist incident in the world in 1996.""",Di bombing na di most deadly terrorist incident for di world for 1996,Government
"it is not difficult to conclude as congress did that the ""tain[t]"" of such violent activities is so great that working in coordination with or at the command ofthe pkk and ltte serves to legitimize and further their terrorist means.","Di ""tain[t]"" of such violent activities dey so great say work for coordination wit or at di command of pkk and ltte serve to legitimize and further dia terrorist means.",Government
"material support meant to ""promot[e] peaceable, lawful conduct,""can further terrorism by foreign groups in multiple ways.","Di material support wey dey meant to ""promot[e] peaceable, lawful conduct, can further terrorism by foreign groups for multiple ways.",Government
"""material support""is a valuable resource by definition.","Di""material support""na valuable resource by definition",Government
such support frees up other resources within t he organization that maybe put to violent ends.,Na such support free up oda resources wey dey inside t he organization wey dey put to violent ends.,Government
"it also importantly helps lend legitimacy to foreign terrorist groups--legitimacy that makes it easier for those groups to persist, to recruit members, and to raise funds--all of which facilitate more terrorist attacks.","Di also importantly help lend legitimacy to foreign terrorist groups, legitimacy wey make dem easier for those groups to persist, to recruit members, and to raise funds, all of which facilitate more terrorist attack.",Government
"""terrorist organizations do not maintain organizational 'firewalls' that would prevent or deter.",Dem no maintain organizational firewalls wey go prevent or deter.,Government
"sharing and commingling of support and benefits.""",E dey share and commingling of support and benefit,Government
"""[i]nvestigators have revealed how terrorist groups systematically conceal their activities behind charitable, social, and political fronts.""","Di vestigators don reveal how terrorist groups systematically conceal dia activities behind charitable, social, and political fronts",Government
"m. levitt, hamas: politics, charity, and terrorism in the service of jihad 2-3(2006).","Di politics, charity, and terrorism for di service of jihad 2-3(2006).",Government
"""indeed, some designated foreign terrorist organizations use social and political components to recruit personnel to carry out terrorist operations, and to provide support to criminal terrorists and their families in aid of such operations.""","Di designated foreign terrorist organization use social and political component to recruit personnel to carry out terrorist operations, and to provide support to criminal terrorists and dia families for aid of such operations",Government
"money is fungible, and""[w]hen foreign terrorist organizations that have a dual structure raise funds, they highlight the civilian and humanitarian ends to which such moneys could be put.""","Di foreign terrorist organization wey don get dual structure raise funds, dem highlight di civilian and humanitarian ends to which such money dey put.",Government
"but""there is reason to believe that foreign terrorist organizations do not maintain legitimate financial firewalls between those funds raised for civil, nonviolent activities, and those ultimately used to support violent, terrorist operations.""","Di reason to believe say foreign terrorist organization no maintain legitimate financial firewalls between those funds wey dey rais for civil, nonviolent activities, and those ultimately use to support violent, terrorist operations.",Government
"thus, ""[f]unds raised ostensibly for charitable purposes have in the past been redirected by some terrorist groups to fund the purchase of arms and explosives.""","For di past, ""[f]unds raised ostensibly for charitable purposes don redirect some terrorist groups to fund di purchase of arms and explosives",Government
"there is evidence that the pkk and the ltte, in particular, have not""respected the line between humanitarian and violent activities.""","Di pkk and di ltte, especially, don respect di line between humanitarian and violent activities",Government
"the dissent argues that there is""no natural stopping place""for the proposition that aiding a foreign terrorist organization's lawful activity promotes the terrorist organization as a whole.",Di dissent argues say no natural stop place for di proposition say aiding foreign terrorist organization's lawful activity promote di terrorist organization as a whole.,Government
but congress has settled on just such a natural stopping place: the statute reaches only material support robson the first amendment 56 coordinated with or under the direction of a designated foreign terrorist organization.,Di statute reach only material support robson First amendment (wey go bring freedom to pipo) 56 coordinated wit or under di direction of a designated foreign terrorist organization.,Government
independent advocacy that might be viewed as promoting the group's legitimacy is not covered.,Di independent advocacy wey dey viewed as promoting di group legitimacy no dey covered.,Government
providing foreign terrorist groups with material support in any form also furthers terrorism by straining the united states' relationships with its allies and undermining cooperative efforts between nations to prevent terrorist attacks.,Di united states' relationship wit its allies and undermining cooperative efforts between nations to prevent terrorist attack.,Government
"we see no reason to question congress's finding that""international cooperation is required for an effective response to terrorism, as demonstrated by the numerous multilateral conventions in force providing universal prosecutive jurisdiction over persons involved in a variety of terrorist acts, including hostage taking, murder of an internationally protected person, and aircraft piracy and sabotage.""","We see no reason to question congress's finding say international cooperation dey required for effective response to terrorism, as demonstrate by di numerous plenti bilateral conventions for force provide universal prosecutive jurisdiction over persons wey dey involved for a variety of terrorist act, including hostage taking, murder of internationally protected person, and aircraft piracy and sabotage.",Government
"the materialsupport statute furthers this international effort by prohibiting aid for foreign terrorist groups that harm the united states' partners abroad:""a number of designated foreign terrorist organizations have attacked moderate governments with which the united states has vigorously endeavored to maintain close an d friendly relations,""and those attacks""threaten [the]social, economic and political stability""of such governments.","A number of designated foreign terrorist organizations don attack moderate goment wit wich di united states don vigorously endeavor to maintain close di d friendly relations, and those attack""threaten [the social, economic and political stability""of such goment.",Government
"""[o]ther foreign terrorist organizations attack our nato allies, thereby implicating important and sensitive multilateral security arrangements.""","Di foreign terrorist organization attack awa nato allies, thereby implicating important and sensitive plentiilateral security arrangements",Government
"for example, the republic of turkey--a fellow member of nato--is defending itself against a violent insurgency waged by the pkk.","Di republic of turkey--a fellow member of nato, dey defend imself against violent insurgency waged by di pkk.",Government
"that nation and our other allies would react sharply to americans furnishing material support to foreign groups like the pkk, and would hardly be mollified by the explanation that the support was meant only to further those groups'""legitimate"" activities.","Dem react sharply to Americans furnishing material support to foreign groups like di pkk, and go hardly dey mollified by di explanation say di support dey meant only to further those groups'""legitimate"" activities.",Government
"from turkey's perspective, there likely are no such activities.",Di likely dey no such activities.,Government
"c in analyzing whether it is possible in practice to distinguish material support for a foreign terrorist group's violent activities and its nonviolent activities, we do not rely exclusively on our own inferences drawn from the record evidence.",We no rely exclusively on awa own inference wey dey draw from di record evidence.,Government
we have before us an affidavit stating the executive branch's conclusion on that question.,We don before us affidavit wey dey stat di part of government wey dey carry out and enforce laws— led by President or Prime Minister's conclusion on dat question.,Government
"the state department informs us that""[t]he experience and analysis ofthe u. s. government agencies charged with combating terrorism strongly suppor[t]"" congress's finding that all contributions to foreign terrorist organizations further their terrorism.","Di state department inform us say""[t]he experience and analysis of di u. s. goment agencies charge wit combating terrorism strongly suppor[t]"" congress's finding say all contributions to foreign terrorist organization further dia terrorism",Government
"mckune affidavit, app.","Di affidavit, app.",Government
"in the executive's view:""given the purposes, organizational structure, and clandestine nature of foreign terrorist organizations, it is highly likely that any material support to these organizations will ultimately inure to the benefit of their criminal, terrorist functions--regardless of whether such support was ostensibly intended to support non-violent, non- terrorist activities.""","Di purpose, organizational structure, and clandestine nature of foreign terrorist organization, e dey highly likely say any material support to dis organizations go ultimately inure to di benefit of dia criminal, terrorist functions, regardless of whether such support go support non-violent, non- terrorist activities",Government
"that evaluation ofthe facts by the executive, like congress's assessment, is entitled to deference.","Di executive, like congress's assessment, dey entitled to deference.",Government
this litigation implicates sensitive and weighty interests of national security and foreign affairs.,"Dis litigation implicates sensitive and weighty interests of Di way wey dem take dey protect di kontri, di pipo wey dey di kontri, and di tins wey important for di kontri from bad tins wey fit happen from outside or inside, including make sure say terrorist no go cause trouble, or say anoder kontri no go spy on demand foreign affairs.",Government
"the pkk and the ltte have committed terrorist acts against american citizens abroad, and the material- support statute addresses acute foreign policy concerns involving relationships with our nation's allies.","Di pkk and di ltte don committe terrorist acts against american citizens abroad, and di material- support statute addresses acute wetin koncern how govment of one kontri dey relate with odas kontri, like how dem go dey do business, make peace or fight concerns wey dey involving relationships wit our nation's allies.",Government
"we do not defer to the government's reading ofthe first amendment, even when such interests are at stake.","We no defer to di goment reading of First amendment (wey go bring freedom to pipo), even if such interest dey stake.",Government
"we are one with the dissent that the government's""authority and expertise in these matters do not automatically trump the court's own obligation to secure the protection that the constitution grants to individuals.""",We dey one wit di dissent say di goment's authority and expertise for dis matter no automatically trump di court's own obligation to secure di protection wey di constitution grant to individuals,Government
"but when it comes to collecting evidence and drawing factual inferences in this area,""the lack of competence on the part ofthe courts is marked,""and respect for the government's conclusions is appropriate.","Di lack of competence on di part of di courts dey marked,""the lack of competence on di part of di courts dey marked,""and respect for di goment's conclusions dey ppropriaate.",Government
"in that case, the application ofthe statute turned on the offensiveness ofthe speech at issue.",Di application of di statute turn on di offensiveness of di speech for issue.,Government
"observing that""one man's vulgarity is another's lyric,""we invalidated cohen's conviction in part because we concluded that""governmental officials cannot make principled distinctions in this area.""","We dey observing say one man's vulgarity dey one's lyric, we dey invalidated cohen's conviction for part because we concluded say""governmental officials no make principle distinctions for dis area",Government
"in this litigation, by contrast, congress and the executive are uniquely positioned to make principled distinctions between activities that will further terrorist conduct and undermine united states foreign policy, and those that will not.","Di litigation, by contrast, congress and di executive dey uniquely position to make principled distinctions between activities that go further terrorist conduct and undermine united states wetin koncern how govment of one kontri dey relate with odas kontri, like how dem go dey do business, make peace or fight, and those wey no fit.",Government
robson the first amendment 57 we also find it significant that congress has been conscious of its own responsibility to consider how its actions may implicate constitutional concerns.,First amendment (wey go bring freedom to pipo) 57 we also find significant say congress don conscious of its own responsibility to consider how im actions dey implicate constitutional concerns.,Government
"first, 2339b only applies to designated foreign terrorist organizations.","First, 2339b only applies to designated foreign terrorist organizations.",Government
"there is, and always has been, a limited number of those organizations designated by the executive branch, and any groups so designated may seek judicial review ofthe designation.","Di part of government wey dey carry out and enforce laws— led by President or Prime Minister, and any groups wey dey designated go seek judicial review of di designation.",Government
"second, in response to the lower courts' holdings in this litigation, congress added clarity to the statute by providing narrowing definitions ofthe terms""training,"" ""personnel,""and ""expert advice or assistance,""as well as an explanation ofthe knowledge required to violate 2339b.","Di second, for response to di lower courts' holdings for dis litigation, congress add clarity to di statute by providing narrowing definition of di terms""training,"" ""personnel,""and ""expert advice or assistance, as well as explanation of di knowledge need to violate 2339b.",Government
"third, in effectuating its stated intent not to abridge first amendment rights, congress has also displayed a careful balancing of interests in creating limited exceptions to the ban on material support.","Di third, for effectuating its state intent no to abridge First amendment (wey go bring freedom to pipo) rights, congress don show careful balancing of interests for creating limited exceptions to di ban on material support.",Government
"the definition of material support, for example, excludes medicine and religious materials.","Di definition of material support, for example, excludes medicine and church religion materials.",Government
"in this area perhaps more than any other, the legislature's superior capacity for weighing competing interests means that""we must be particularly careful not to substitute our judgment of what is desirable for that of congress.""","Di legislature's superior capacity for weighing competing interests means say""we must substitute awa judgment of what dey desirable for dat of congress.",Government
"finally, and most importantly, congress has avoided any restriction on independent advocacy, or indeed any activities not directed to, coordinated with, or controlled by foreign terrorist groups.","Di congress don avoid any restriction on independent advocacy, or indeed any activities wey dey direct to, coordinated wit, or controlled by foreign terrorist groups.",Government
"at bottom, plaintiffs simply disagree with the considered judgment of congress and the executive that providing material support to a designated foreign terrorist organization--even seemingly benign support --bolsters the terrorist activities of that organization.",Di plaintiffs simply disagree wit di considered judgment of Congress and di executive wey provide material support to a designated foreign terrorist organization--even seemingly benign support --bolsters di terrorist activities of dat organization.,Government
"that judgment, however, is entitled to significant weight, and we have persuasive evidence before us to sustain it.",We don persuasive evidence before us to sustain am,Government
"given the sensitive interests in national security and foreign affairs at stake, the political branches have adequately substantiated their determination that, to serve the government's interest in preventing terrorism, it was necessary to prohibit providing material support in the form of training, expert advice, personnel, and services to foreign terrorist groups, even if the supporters meant to promote only the groups' nonviolent ends.","Di political branch don adequately substantiated dia determination say, to serve di goment interest for Di way wey dem take dey protect di kontri, di pipo wey dey di kontri, and di tins wey important for di kontri from bad tins wey fit happen from outside or inside, including make sure say terrorist no go cause trouble, or say anoder kontri no go spy on demand foreign affairs for stake, di political branch don adequately substantiated dia determination say, to serve di government interest for preventing terrorism, e dey necessary to prohibit providing material support for di form of training, expert advice, personnel, and services to foreign terrorist groups, even if di supporters meant to promote only di groups' nonviolent ends.",Government
we turn to the particular speech plaintiffs propose to undertake.,We turn to di particular talk plaintiffs propose to undertake.,Government
"first, plaintiffs propose to""train members of[the] pkk on how to use humanitarian and international law to peacefully resolve disputes.""","First, plaintiffs propose to""train members of[di] pkk on how to use humanitarian and Rules and agreements wey control how countries relate and deal with eachother to peacefully resolve disputes.""",Government
"congress can, consistent with the first amendment, prohibit this direct training.","Di congress can, consistent wit di firstamendment, prohibit dis direct training.",Government
"this possibility is real, not remote.","Di possibility dey real, no remote.",Government
"second, plaintiffs propose to""teach pkk members how to petition various representative bodies such as the united nations for relief.""","Second, plaintiffs propose to""teach pkk members how to complaint various representative bodies such as di united nations for relief.""",Government
"the government acts within first amendment strictures in banning this proposed speech because it teaches the organization how to acquire""relief,"" which plaintiffs never define with any specificity, and which could readily include monetary aid.","Di goment act within First amendment (wey go bring freedom to pipo) strictures for banning dis proposed speech bikos e teach am di organization how to acquire""relief,"" wey plaintiffs no define wit any specificity, and wey go readily include monetary aid.",Government
"finally, plaintiffs propose to""engage in political advocacy on behalf of kurds who live in turkey,""and ""engage in political advocacy on behalf of tamils who live in sri lanka.""","Di plaintiffs propose to""engage for political advocacy on behalf of kurds wey live for turkey,""and ""engage for political advocacy on behalf of tamils wey live for sri lanka,""and ""engage for political advocacy on behalf of tamils wey live for sri lanka",Government
"in responding to the foregoing, the dissent fails to address the real dangers at stake.",Di dissent fail to address di real dangers for stake.,Government
it instead considers only the possible benefits of plaintiffs' proposed activities in the abstract.,E dey consider only di possible benefits of plaintiffs' proposed activities for di abstract.,Government
the dissent seems unwilling to entertain the prospect that training and advising a designated foreign terrorist organization on how to take advantage of international entities might benefit that organization in away that facilitates its terrorist activities.,Di dissent seem unwilling to entertain di prospect say training and advising a designated foreign terrorist organization on how to take advantage of international entities go benefit say organization for away wey dey facilitate its terrorist activities.,Government
"in the dissent's world, such training is all to the good.",Di training dey all to di good,Government
"congress and the executive, however, have concluded that we live in a different world: one in which the designated foreign terrorist organizations""are so tainted by their criminal conduct that any contribution to such an organization facilitates that conduct.""",One for wen di designated foreign terrorist organization dey so tainted by dia criminal conduct say any contribution to such organization facilitate say conduct.,Government
"one in which, for example,""the united nations high commissioner for refugees was forced to close a kurdish refugee camp in northern iraq because the camp had come under the control ofthe pkk, and the pkk had failed to respect its 'neutral and humanitarian nature.'","Di united nations high commissioner for refugees don force to close a kurdish Temporary place wey dem build to house pipo wey run from their country for northern iraq because di camp don kom under di control of di pkk, and di pkk don fail to respect its 'neutral and humanitarian nature.'",Government
"""training and advice on how to work with the united nations could readily have helped the pkk in its efforts to use the united nations camp as a base for terrorist activities.",Di training and advice on how to work wit di united nations go readily help di pkk for its efforts to use di united nations camp as base for terrorist activities.,Government
"robson the first amendment 58 if only good can come from training our adversaries in international dispute resolution, presumably it would have been unconstitutional to prevent american citizens from training the japanese government on using international organizations and mechanisms to resolve disputes during world war ii.","First amendment (wey go bring freedom to pipo) 58 if only good fit kom from training our adversaries for international dispute resolution, presumably e go unconstitutional to prevent american citizens from training di japanese goment on using international organization and mechanisms to resolve disputes during Wahala wey happen for 1939 reach 1945, wey all kontri for world join bodi, dem form two group, one dey call dem Allies, anoda one dey call dem Axis, na im be di big fight wey everybody sabi.",Government
"it would, under the dissent's reasoning, have been contrary to our commitment to resolving disputes through"" 'deliberative forces,'"" (quoting whitney v. california(1927) (brandeis, j, concurring)), for congress to conclude that assisting japan on that front might facilitate its war effort more generally.",For congress to conclude say assisting Japan on dat front go facilitate im war effort more generally.,Government
that view is not one the first amendment requires us to embrace.,Di view noone First amendment (wey go bring freedom to pipo) require us to embrace.,Government
all this is not to say that any future applications ofthe material-support statute to speech or advocacy will survive first amendment scrutiny.,Dem no say any future applications of di material-support statute to speech or advocacy go survive First amendment (wey go bring freedom to pipo) scrutiny.,Government
it is also not to say that any other statute relating to speech and terrorism would satisfy the first amendment.,Dem no say any oda statute wey dey relating to speech and terrorism go satisfy First amendment (wey go bring freedom to pipo).,Government
"in particular, we in no way suggest that a regulation of independent speech would pass constitutional muster, even if the government were to show that such speech benefits foreign terrorist organizations.","We no go suggest say regulation of independent speech go pass constitutional muster, even if di goment dey show say such speech benefits foreign terrorist organization.",Government
we also do not suggest that congress could extend the same prohibition on material support at issue here to domestic organizations.,We no suggest say congress go extend di same prohibition on material support for issue here to domestic organizations.,Government
"we simply hold that, in prohibiting the particular forms of support that plaintiffs seek to provide to foreign terrorist groups, 2339b does not violate the freedom of speech.","We simply hold say, for prohibiting di particular form of support wey plaintiffs seek provide to foreign terrorist groups, 2339b no violate di freedom of speech.",Government
plaintiffs argue that the statute criminalizes the mere fact of their associating with the pkk and the lt te.,Di statute criminalize di mere fact of dia associating wit pkk and di lt te.,Government
any burden on plaintiffs' freedom of association in this regard is justified for the same reasons that we have denied plaintiffs' free speech challenge.,Dem justifie for di same reason wey we dey denied plaintiffs' free speech challenge.,Government
"it would be strange if the constitution permitted congress to prohibit certain forms of speech that constitute material support, but did not permit congress to prohibit that support only to particularly dangerous and lawless foreign organizations.","Di constitution no allow congress to prohibit certain form of speech wey constitute material support, but no allow congress to prohibit say support only to particularly dangerous and lawless foreign organizations.",Government
congress is not required to ban material support to every group or none at all.,Di congress no need to ban material support to every group or none for all.,Government
"the preamble to the constitution proclaims that the people ofthe united states ordained and established that charter of government in part to""provide for the common defence.""","Di preamble to di constitution proclaim say di pipo of di united states ordain and establish say charter of goment for part to""provide for di common defence""",Government
"as madison explained, ""[s]ecurity against foreign danger is.","As madison explain, ""[s]ecurity against foreign danger dey.",Government
"an avowed and essential object ofthe american union.""",E dey avowed and essential object of di american union,Government
t he federalist no.,Di federalist no.,Government
"we hold that, in regulating the particular forms of support that plaintiffs seek to provide to foreign terrorist organizations, congress has pursued that objective consistent with the limitations ofthe first and fifth amendments.","We hold say, for regulating di particular form of support wey plaintiffs seek provide to foreign terrorist organization, congress don pursue say objective consistent wit di limitations of di first and fifth amendments.",Government
"the judgment ofthe united states court of appeals for the ninth circuit is affirmed in part and reversed in part, and the cases are remanded for further proceedings consistent with this opinion.","Di judgment of di united states court of appeal for di ninth circuit dey reversed for part and reversed for part, and di case dey remanded for further proceedings consistent wit dis opinion.",Government
it is so ordered.,E dey so ordered,Government
"justice breyer, with whom justices ginsburg and sotomayor join, dissenting.","Justice breyer, wit whom justices ginsburg and sotomayor join, dissenting.",Government
"like the court, and substantially for the reasons it gives, i do not think this statute is unconstitutionally vague.",I no think dis statute dey unconstitutionally vague.,Government
but i cannot agree with the court's conclusion that the constitution permits the government to prosecute the plaintiffs criminally for engaging in coordinated teaching and advocacy furthering the designated organizations' lawful political objectives.,I no agree wit di court's conclusion say di constitution don allow di goment prosecute di plaintiff criminally for engaging for coordinated teaching and advocacy furthering di designated organization' lawful political objectives.,Government
"in my view, the government has not met its burden of showing that an interpretation ofthe statute that would prohibit this speech- and association-related activity serves the government's compelling interest in combating terrorism.",Di goment no meet im burden of show say interpretation of di statute wey go prohibit dis speech- and association-related activity serve di goment's compelling interest for combating terrorism.,Government
andi would interpret the statute as normally placing activity of this kind outside its scope.,I go interpret di statute as normally place activity of dis kind outside its scope.,Government
"robson the first amendment 59 i***in my view, the government has not made the strong showing necessary to justify under the first amendment the criminal prosecution of those who engage in these[described] activities.",Di goment no make di strong showing necessary to justify under First amendment (wey go bring freedom to pipo) di criminal prosecution of those wey engage for dis[described] activities.,Government
all the activities involve the communication and advocacy of political ideas and lawful means of achieving political ends.,Di activities deyinvolve di communication and advocacy of political ideas and lawful means of achieving political ends.,Government
"even the subjects the plaintiffs wish to teach--using international law to resolve disputes peacefully or petitioning the united nations, for instance--concern political speech.","Even di subjects di plaintiffs wish to teach--using Rules and agreements wey control how countries relate and deal with eachother to resolve disputes peacefully or petitioning di united nations, for example--concern political talk.",Government
"we cannot avoid the constitutional significance of these facts on the basis that some of this speech takes place outside the united states and is directed at foreign governments, for the activities also involve advocacy in this country directed to our government and its policies.","We no avoid di constitutional significance of dis facts on di basis say some of thin speech take place outside di united states and dey directed for foreign governments, for di activities also involve advocacy for dis kontri wey dey directed to awa government and its policy.",Government
"the plaintiffs, for example, wish to write and distribute publications and to speak before the united states congress.","Di plaintiffs, for example, wish to write and distribute publications and to speak before di united states congress(di big law-makers).",Government
that this speech and association for political purposes is the kind of activity to which the first amendment ordinarily offers its strongest protection is elementary.,Di speech and association for political purposes dey di kind of activity wey First amendment (wey go bring freedom to pipo) ordinarily offers its strongest protection dey elementary.,Government
"although in the court's view the statute applies only where the pkk helps to coordinate a defendant's activities, the simple fact of""coordination"" alone cannot readily remove protection that the first amendment would otherwise grant.","Di court view di statute appli only wia di pkk help to coordinate defendant's activities, di simple fact of""coordination"" alone no readily remove protection wey First amendment (wey go bring freedom to pipo) go grant.",Government
"that amendment, after all, also protects the freedom of association.","Di amendment, after all, also protect di freedom of association",Government
"""coordination""with a political group, like membership, involves association.","coordination wit a political group, like membership, involves association.",Government
"""coordination""with a group that engages in unlawful activity also does not deprive the plaintiffs ofthe first amendment's protection under any traditional ""categ orical"" exception to its protection.","Di group wey engage for unlawful activity no deprive di plaintiffs of First amendment (wey go bring freedom to pipo)'s protection under any traditional ""categ orical"" exception to dia protection.",Government
the plaintiffs do not propose to solicit a crime.,Di plaintiffs no propose to solicit crime.,Government
they will not engage in fraud or defamation or circulate obscenity.,Dem no engage for fraud or defamation or circulate obscenity.,Government
"united states v. stevens(2010) (describing""categories"" of unprotected speech).","Discribing ""categories""of unprotected speech).",Government
"and the first amendment protects advocacy even of unlawful action so long as that advocacy is not""directed to inciting or producing imminent lawless action and.",Di first amendment protect advocacy even of unlawful action so long assay advocacy no dey direct to inciting or producing imminent lawless action and.,Government
"likely to incite or produce such action.""","Likely to incite or produce such action.""",Government
"brandenburg v. ohio, (1969)(per curiam) (emphasis added).",Emphasis add).,Government
"here the plaintiffs seek to advocate peaceful, lawful action to secure political ends; and they seek to teach others how to do the same.","Di plaintiffs seek to advocate peaceful, lawful action to secure political ends; and dem seek to teach oda how to do di same.",Government
noone contends that the plaintiffs' speech to these organizations can be prohibited as incitement under brandenburg.,Nano one contend say di plaintiffs' speech to dis organization go prohibit as incitement under brandenburg.,Government
"moreover, the court has previously held that a person who associates with a group that uses unlawful means to achieve its ends does not thereby necessarily forfeit the first amendment's protection for freedom of association.",Di court don tok say a person wey dey associat wit group wey use unlawful means to achieve its ends no dey necessarily forfeit First amendment (wey go bring freedom to pipo)'s protection for freedom of association.,Government
"after all, this court has recognized that not"" '[e]ven the war power. remove[s]constitutional limitations safeguarding essential liberties.'","Di court don recognise say no "" '[e]ven di war power, remove constitutional limitations safeguarding essential liberties.",Government
"thus, there is no general first amendment exception that applies here.",Di general First amendment (wey go bring freedom to pipo) exception wey dey applies here,Government
"if the statute is constitutional in this context, it would have to come with a strong justification attached.","Di statute dey constitutional for di context, e go get strong justification attached.",Government
"it is not surprising that the majority, in determining the constitutionality of criminally prohibiting the plaintiffs' proposed activities, would apply, not the kind of intermediate first amendment standard that applies to conduct, but "" 'a more demanding standard.'","Di majority, for determining di constitutionality of criminally prohibiting di plaintiffs' proposed activities, go apply, no di kind of intermediate First amendment (wey go bring freedom to pipo) standard wey dey apply to conduct, but "" 'a more demanding standard.",Government
"""indeed, where, as here, a statute applies criminal penalties and atleast arguably does soon the basis of content-based distinctions, i should think we would scrutinize the statute and justifications ""strictly""--to determine whether the prohibition is justified by a""compelling"" need that cannot be""less restrictively"" accommodated.","I go think we go scrutinize di statute and justifications ""strictly""--to determine whether di prohibition dey justified by a""compelling"" need wey no be""less restrictively"" accommodated.",Government
"but, even if we assume for argument's sake that""strict scrutiny""does not apply, no one c an deny that we must at the very least""measure the validity ofthe means adopted by congress against both the goal it has sought to achieve and the specific prohibitions ofthe first amendment.""","Na even if we assume for argument sake say""strict scrutiny no apply, no one c an deny say we must at di very least""measure di validity of di means adopted by congress against both di goal wey dey achieve and di specific prohibitions of First amendment (wey go bring freedom to pipo)""",Government
"and here i need go no further, for i doubt that the statute, as the government would interpret it, can survive any reasonably applicable first amendment standard.","I need go no further, for i doubt say di statute, as di goment go interpret am, fit survive any reasonably applicable First amendment (wey go bring freedom to pipo) standard.",Government
"the government does identify a compelling countervailing interest, namely, the interest in protecting the security ofthe united states and its nationals from the threats that foreign terrorist organizations robson the first amendment 60 pose by denying those organizations financial and other fungible resources.","Di goment don identify compelling countervailing interest, namely, di interest for protect di security of di united states and its nationals from di threats wey foreign terrorist organization robson First amendment (wey go bring freedom to pipo) 60 pose by denying those organizations financial and oda fungible resources.",Government
but i do dispute whether the interest can justify the statute's criminal prohibition.,I do dispute whether di interest fit justify di statute criminal prohibition.,Government
"to put the matter more specifically, precisely how does application ofthe statute to the protected activities before us help achieve that important security-related end?",Na how does application of di statute to di protected activities before us help achieve important security-related end?,Government
the government makes two efforts to answer this question.,Di goment make two effort to answer dis question,Government
"first, the government says that the plaintiffs' support for these organizations is ""fungible"" in the same sense as other forms of banned support.","Di government tok say di plaintiffs support for dis organization dey ""fungible"" for di same sense as oda form of banned support",Government
"being fungible, the plaintiffs' support could, for example, free up other resources, which the organization might put to terrorist ends.","Di plaintiffs' support go, for example, free up oda resources, wey di organization go put toter rorist ends.",Government
"the proposition that the two very different kinds of""support"" are ""fungible,"" however, is not obviously true.","Di proposition say di two different kinds of""support"" dey ""fungible,"" however, no dey true.",Government
"there is no obvious way in which undertaking advocacy for political change through peaceful means or teaching the pkk and ltte, say, how to petition the united nations for political change is fungible with other resources that might be put to more sinister ends in the way that donations of money, food, or computer training are fungible.","Nano obvious way wey dey undertaking advocacy for political change through peaceful means or teaching di pkk and ltte, say how to petition di united nations for political change through peaceful means or teaching di pkk and ltte, say how to petition di united nations for political change through peaceful means or teaching di pkk and ltte, say how to petition di united nations for political change dey fungible wit oda resources wey dey put to more sinister ends",Government
"it is far from obvious that these advocacy activities can themselves be redirected, or will free other resources that can be directed, towards terrorist ends.","E dey far from obvious say dis advocacy activities go redirect, or go free oda resources wey dey direct, towards terrorist ends.",Government
"thus, we must determine whether the government has come forward with evidence to support its claim.",We must determine whether di goment don kom forward wit evidence to support im claim.,Government
the government has provided us with no empirical information that might convincingly support this claim.,Di goment don provide us wit no empirical information wey might convincingly support dis claim.,Government
"instead, the government cites only to evidence that congress was concerned about the ""fungible"" nature in general of resources, predominately money and material goods.","Di goment cite only to evidence say congress dey concern about di ""fungible"" nature for general of resources, predominately money and material goods.",Government
